,Services,Type,Segments,ID
561,Sports Photography,Peripheral,Photography,562
562,Video Editing,Peripheral,Photography,563
563,Appliance Installation,Peripheral,Repair and technical support,564
564,Computer Repair,Peripheral,Repair and technical support,565
565,Data Recovery Service,Peripheral,Repair and technical support,566
566,Exercise Equipment Repair,Peripheral,Repair and technical support,567
567,Network Support Services,Peripheral,Repair and technical support,568
568,Phone or Tablet Repair,Peripheral,Repair and technical support,569
569,Pool Table Repair Services,Peripheral,Repair and technical support,570
570,Printer and Copier Repair,Peripheral,Repair and technical support,571
571,Resume Writing,Peripheral,"Writing, translation, and transcription",572
572,Translation,Peripheral,"Writing, translation, and transcription",573
